Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Lenyn Sosa","CHW",0.41309824,0.68096055,0.5265069,0.74085366,0.88664987,0.82068966,0.42338417,0.63143631,0.0942029,0.16884058,0.26304348,"Lenyn Sosa",22896,672820
"Jeremy Peña","HOU",0.39169139,0.74458874,0.53521127,0.58333333,0.91569767,0.77138158,0.40669014,0.67538462,0.12235915,0.14040493,0.26276408,"Jeremy Pena",21636,665161
"Juan Soto","NYY",0.21299435,0.60084034,0.36891892,0.67374005,0.86433566,0.7985348,0.40202703,0.54137447,0.07409902,0.1886157,0.26271472,"Juan Soto",20123,665742
"MJ Melendez","KCR",0.33022388,0.79042691,0.52303523,0.63841808,0.79378069,0.73678756,0.41897019,0.63192905,0.13766938,0.12466125,0.26233062,"MJ Melendez",22197,669004
"Carlos Santana","MIN",0.27017544,0.667001,0.43352601,0.67012987,0.85413534,0.78666667,0.41164327,0.56565657,0.09240924,0.16955446,0.2619637,"Carlos Santana",2396,467793
"Nick Castellanos","PHI",0.40775988,0.82106339,0.58020478,0.53500898,0.85429639,0.72352941,0.41723549,0.69802731,0.16006811,0.10131971,0.26138782,"Nick Castellanos",11737,592206
"Kevin Newman","ARI",0.32094595,0.69246862,0.48691589,0.70526316,0.92145015,0.84261036,0.44672897,0.63022508,0.07663551,0.18411215,0.26074766,"Kevin Newman",17696,621028
"Cody Bellinger","CHC",0.35119048,0.6890849,0.49831973,0.69975787,0.864,0.79865125,0.43542967,0.58347979,0.10028791,0.16026871,0.26055662,"Cody Bellinger",15998,641355
"Ramón Urías","BAL",0.30652504,0.75102041,0.49608355,0.64356436,0.81793478,0.75614035,0.42645779,0.66777409,0.12076455,0.13900956,0.25977411,"Ramon Urias",18795,602104
"Alex Verdugo","NYY",0.28342674,0.62854529,0.44449189,0.73728814,0.93158661,0.86551393,0.46669513,0.61996779,0.05970149,0.2,0.25970149,"Alex Verdugo",17027,657077
"CJ Abrams","WSN",0.38762725,0.71719227,0.53097345,0.67878788,0.83687943,0.77166667,0.43495575,0.62790698,0.12113174,0.13837312,0.25950486,"CJ Abrams",25768,682928
"Steven Kwan","CLE",0.22203673,0.5966908,0.38937644,0.83082707,0.97227036,0.92763938,0.44665127,0.58703704,0.02814952,0.23073373,0.25888325,"Steven Kwan",24610,680757
"William Contreras","MIL",0.29082915,0.74261993,0.47384155,0.57235421,0.83726708,0.74053628,0.40508221,0.60382916,0.12289877,0.13559955,0.25849832,"William Contreras",20503,661388
"Jose Iglesias","NYM",0.43687708,0.63636364,0.52465116,0.77946768,0.92358804,0.85638298,0.44,0.63230241,0.07527881,0.1830855,0.25836431,"Jose Iglesias",10231,578428
"Gleyber Torres","NYY",0.25995025,0.71723001,0.45657568,0.69617225,0.84252874,0.79503106,0.42998937,0.63007519,0.09355067,0.1644224,0.25797307,"Gleyber Torres",16997,650402
"Andy Pages","LAD",0.33577406,0.72739187,0.5095986,0.63862928,0.85765766,0.77739726,0.44386271,0.63656885,0.11304348,0.14492754,0.25797101,"Andy Pages",24816,681624
"George Springer","TOR",0.28416149,0.75346535,0.49042646,0.6147541,0.84362681,0.76929902,0.43951262,0.65309446,0.11313394,0.14477677,0.25791071,"George Springer",12856,543807
"Nolan Arenado","STL",0.33523132,0.64627151,0.46797226,0.73673036,0.91863905,0.84394071,0.42676459,0.61417323,0.07291242,0.18492872,0.25784114,"Nolan Arenado",9777,571448
"Brayan Rocchio","CLE",0.32571996,0.67824773,0.46554823,0.67073171,0.87082405,0.78635779,0.3966447,0.63574661,0.09946075,0.15817855,0.2576393,"Brayan Rocchio",23690,677587
"Pete Crow-Armstrong","CHC",0.43489254,0.79014308,0.59225352,0.64534884,0.79275654,0.73246136,0.44295775,0.70731707,0.1583392,0.0992259,0.2575651,"Pete Crow-Armstrong",27769,691718
"Manuel Margot","MIN",0.3310992,0.70640569,0.49235474,0.70040486,0.88413098,0.8136646,0.42966361,0.62099125,0.09167303,0.1657754,0.25744843,"Manuel Margot",14712,622534
"Isaac Paredes","- - -",0.29638273,0.67427568,0.44724851,0.73622047,0.90625,0.83855799,0.39922888,0.62714509,0.0721794,0.18465312,0.25683252,"Isaac Paredes",20036,670623
"Brandon Nimmo","NYM",0.27562062,0.67744681,0.44756009,0.6073903,0.88442211,0.78681855,0.42789512,0.58974359,0.09530738,0.16151328,0.25682066,"Brandon Nimmo",12927,607043
"Ezequiel Duran","TEX",0.41396934,0.75177305,0.55544554,0.62962963,0.87106918,0.76648841,0.41881188,0.67368421,0.12931885,0.12734452,0.25666338,"Ezequiel Duran",23733,677649
"Trea Turner","PHI",0.3830313,0.76357057,0.53744493,0.56344086,0.8957346,0.75500911,0.40577582,0.66604824,0.1316047,0.12475538,0.25636008,"Trea Turner",16252,607208
"Mookie Betts","LAD",0.22930464,0.65435042,0.40351734,0.68592058,0.94899818,0.86077482,0.4098681,0.60852713,0.05615234,0.20019531,0.25634766,"Mookie Betts",13611,605141
"Francisco Lindor","NYM",0.30506246,0.7147651,0.48507188,0.66163793,0.85446009,0.78647416,0.43936602,0.60232221,0.10346097,0.15279823,0.2562592,"Francisco Lindor",12916,596019
"Nathaniel Lowe","TEX",0.27138643,0.639,0.42741935,0.66847826,0.89514867,0.8123138,0.42444822,0.6,0.08018668,0.17607128,0.25625796,"Nathaniel Lowe",19566,663993
"Tyler Freeman","CLE",0.3125,0.66331658,0.46415641,0.74285714,0.92424242,0.8549142,0.43229544,0.62140992,0.06724512,0.18872017,0.25596529,"Tyler Freeman",22532,671289
"Fernando Tatis Jr.","SDP",0.32466063,0.75562219,0.50999355,0.57142857,0.84920635,0.74841972,0.43004513,0.63013699,0.12830432,0.12765957,0.25596389,"Fernando Tatis Jr.",19709,665487
"Taylor Walls","TBR",0.24356775,0.71460674,0.44747082,0.6056338,0.84591195,0.77173913,0.43287938,0.59920635,0.10214008,0.1536965,0.25583658,"Taylor Walls",22458,670764
"Whit Merrifield","- - -",0.27734375,0.6886121,0.45112782,0.69014085,0.90697674,0.83,0.42255639,0.6358209,0.07669173,0.17894737,0.2556391,"Whit Merrifield",11281,593160
"Manny Machado","SDP",0.33456699,0.7519305,0.5157101,0.62610619,0.8703466,0.78066613,0.4340176,0.62986003,0.113018,0.14231896,0.25533696,"Manny Machado",11493,592518
"Spencer Horwitz","TOR",0.30056497,0.6637931,0.46046806,0.7443609,0.88095238,0.83104396,0.4402277,0.59055118,0.07770057,0.17751105,0.25521162,"Spencer Horwitz",26477,687462
"Austin Martin","MIN",0.24224806,0.70813397,0.45074946,0.592,0.90202703,0.80997625,0.44753747,0.62256809,0.0856531,0.16916488,0.25481799,"Austin Martin",27462,668885
"Joey Meneses","WSN",0.36377025,0.71922246,0.50788091,0.63157895,0.9039039,0.78793103,0.40542907,0.61661342,0.10761155,0.14698163,0.25459318,"Joey Meneses",14366,608841
"Austin Wells","NYY",0.2977588,0.75035663,0.49145299,0.59498208,0.84030418,0.7552795,0.42796093,0.59661836,0.12026862,0.13431013,0.25457875,"Austin Wells",27562,669224
"Nolan Schanuel","LAA",0.25473071,0.6395112,0.41511036,0.78857143,0.91242038,0.86809816,0.41680815,0.62273476,0.05473059,0.19983029,0.25456088,"Nolan Schanuel",33189,694384
"Jonny DeLuca","TBR",0.3968059,0.74576271,0.53457249,0.6873065,0.86363636,0.78442281,0.39479554,0.67403315,0.11515602,0.13818722,0.25334324,"Jonny DeLuca",26365,676356
"Jake McCarthy","ARI",0.33400605,0.67421384,0.48544233,0.65861027,0.94216418,0.83391003,0.44512878,0.65454545,0.08053691,0.17225951,0.25279642,"Jake McCarthy",21622,664983
"Lourdes Gurriel Jr.","ARI",0.35376968,0.72488584,0.50984157,0.68149883,0.8992126,0.81167608,0.42054729,0.64195298,0.09592326,0.15683453,0.25275779,"Lourdes Gurriel Jr.",19238,666971
"Ryan Mountcastle","BAL",0.40523466,0.7790404,0.56105263,0.65256125,0.85737439,0.77110694,0.41684211,0.63905325,0.12815126,0.12447479,0.25262605,"Ryan Mountcastle",18373,663624
"Will Smith","LAD",0.2993921,0.68691099,0.46235139,0.71319797,0.88109756,0.81809524,0.42051959,0.60294118,0.08402992,0.16849978,0.2525297,"Will Smith",19197,669257
"Oswaldo Cabrera","NYY",0.33201581,0.68503937,0.47355959,0.68253968,0.92528736,0.82333333,0.40094712,0.58895706,0.08353034,0.16863672,0.25216706,"Oswaldo Cabrera",21707,665828
"Vladimir Guerrero Jr.","TOR",0.30628803,0.7103139,0.47995374,0.66666667,0.87752525,0.80080321,0.42983809,0.61406026,0.09565886,0.15597388,0.25163273,"Vladimir Guerrero Jr.",19611,665489
"Luis García Jr.","WSN",0.38537906,0.69806452,0.51407329,0.70725995,0.89463956,0.81198347,0.41157727,0.65340909,0.09660297,0.15498938,0.25159236,"Luis Garcia Jr.",20391,671277
"Jesse Winker","- - -",0.2287234,0.67486631,0.43092584,0.66666667,0.87638669,0.81552306,0.45322346,0.61811024,0.07945736,0.17199612,0.25145349,"Jesse Winker",13590,608385
"Patrick Bailey","SFG",0.27862209,0.72625,0.47901511,0.58545455,0.88296041,0.78738318,0.44767767,0.61830357,0.10167598,0.14916201,0.25083799,"Patrick Bailey",27478,672275
"Miguel Vargas","- - -",0.24659864,0.72209026,0.44499504,0.76551724,0.84210526,0.81737194,0.4172448,0.59915612,0.08126858,0.16947473,0.25074331,"Miguel Vargas",20178,678246
"Anthony Rizzo","NYY",0.36470588,0.67525773,0.49092179,0.69032258,0.93129771,0.82503556,0.40642458,0.6,0.08583391,0.16468946,0.25052338,"Anthony Rizzo",3473,519203
"Brendan Donovan","STL",0.26676385,0.64721724,0.43724859,0.73497268,0.93203883,0.86568537,0.44810941,0.59662577,0.05870527,0.19179735,0.25050261,"Brendan Donovan",24679,680977
"Jose Altuve","HOU",0.39646134,0.69719828,0.51018745,0.70082645,0.88562597,0.79632588,0.37815811,0.64516129,0.10382736,0.1465798,0.25040717,"Jose Altuve",5417,514888
"Salvador Perez","KCR",0.46411483,0.77565632,0.57757497,0.62297496,0.86461538,0.74115877,0.36418948,0.65184049,0.14937039,0.10030395,0.24967434,"Salvador Perez",7304,521692
"Abraham Toro","OAK",0.34814815,0.65753425,0.47776184,0.72695035,0.94010417,0.84984985,0.41893831,0.57142857,0.07168459,0.17777778,0.24946237,"Abraham Toro",19844,647351
"Matt Olson","ATL",0.33333333,0.73200993,0.49694501,0.70120898,0.80677966,0.76502732,0.41038697,0.59854015,0.11664971,0.13224822,0.24889793,"Matt Olson",14344,621566
"Freddy Fermin","KCR",0.35411765,0.73458904,0.50906555,0.64119601,0.8997669,0.79315068,0.40725244,0.6576087,0.10522648,0.14355401,0.24878049,"Freddy Fermin",21840,666023
"Michael Massey","KCR",0.39798489,0.69962687,0.51954887,0.72468354,0.936,0.83936324,0.40300752,0.64606742,0.08339594,0.16528926,0.2486852,"Michael Massey",27684,686681
"Charlie Blackmon","COL",0.33058608,0.67512077,0.47916667,0.72022161,0.89445438,0.82608696,0.43125,0.61923848,0.08320333,0.16536661,0.24856994,"Charlie Blackmon",7859,453568
"Christian Walker","ARI",0.2829912,0.76631579,0.48141746,0.58031088,0.85714286,0.76122083,0.41054451,0.57246377,0.1147541,0.13373598,0.24849008,"Christian Walker",13419,572233
"Jose Miranda","MIN",0.38444924,0.73127036,0.52272727,0.66853933,0.89977728,0.79751553,0.3987013,0.62703963,0.10577547,0.14211551,0.24789098,"Jose Miranda",20538,669304
"Nicky Lopez","CHW",0.32173913,0.68926554,0.48157248,0.68581081,0.90163934,0.82015306,0.43488943,0.63146067,0.08660934,0.16093366,0.247543,"Nicky Lopez",19339,670032
"Randal Grichuk","ARI",0.31012658,0.70175439,0.47426471,0.65306122,0.91875,0.81782946,0.41911765,0.58781362,0.08615949,0.1604033,0.24656279,"Randal Grichuk",10243,545341
"Masataka Yoshida","BOS",0.29171396,0.65589888,0.45448839,0.74708171,0.93576017,0.86878453,0.44695543,0.54394299,0.05959849,0.18632371,0.24592221,"Masataka Yoshida",31837,807799
"Luis Campusano","SDP",0.35294118,0.69978402,0.50976563,0.7020202,0.87962963,0.81226054,0.45214844,0.63879599,0.09560976,0.1502439,0.24585366,"Luis Campusano",22217,669134
"Max Kepler","MIN",0.3559322,0.76019576,0.52136182,0.61269841,0.89270386,0.77976953,0.40921228,0.63157895,0.11474316,0.13075384,0.245497,"Max Kepler",12144,596146
"Miguel Amaya","CHC",0.37651822,0.75729927,0.53840186,0.64157706,0.8939759,0.7925072,0.42513576,0.66115702,0.11136891,0.13379737,0.24516628,"Miguel Amaya",21693,665804
"Andrew Benintendi","CHW",0.27937095,0.71115974,0.47719298,0.71192053,0.87076923,0.82037815,0.45814536,0.6091954,0.08562844,0.15923886,0.2448673,"Andrew Benintendi",17901,643217
"Jake Cronenworth","SDP",0.26534653,0.66774454,0.44622093,0.71393035,0.91404358,0.8485342,0.44949128,0.57926829,0.06751361,0.17676951,0.24428312,"Jake Cronenworth",18036,630105
"Anthony Santander","BAL",0.37515006,0.6875,0.49744339,0.7648,0.87109905,0.82232012,0.39152666,0.61353383,0.08825675,0.15572575,0.24398249,"Anthony Santander",14551,623993
"Ildemaro Vargas","WSN",0.32569558,0.63087248,0.45463138,0.79396985,0.95390071,0.88773389,0.42249527,0.61386139,0.05079962,0.19285042,0.24365005,"Ildemaro Vargas",13324,545121
"Ronald Acuña Jr.","ATL",0.26768642,0.7460733,0.46961326,0.65714286,0.8,0.75294118,0.42209945,0.64414414,0.1160221,0.12707182,0.24309392,"Ronald Acuna Jr.",18401,660670
"Gio Urshela","- - -",0.39834881,0.74130737,0.54443128,0.74870466,0.87429644,0.82154516,0.42594787,0.68329718,0.09681228,0.14580874,0.24262102,"Gio Urshela",10681,570482
"Richie Palacios","TBR",0.26358696,0.73944954,0.46604215,0.62371134,0.85111663,0.77721943,0.42544887,0.59810127,0.10382514,0.1381733,0.24199844,"Richie Palacios",24589,680700
"Justin Turner","- - -",0.28560548,0.67428004,0.45431034,0.768,0.89543446,0.85009488,0.43405172,0.57513915,0.0680155,0.17391304,0.24192854,"Justin Turner",5235,457759
"Alejandro Kirk","TOR",0.30952381,0.69004894,0.46555184,0.76923077,0.92671395,0.86494253,0.41003344,0.62694301,0.06279225,0.17902472,0.24181697,"Alejandro Kirk",22581,672386
"Nico Hoerner","CHC",0.35155657,0.65295888,0.48141746,0.81209503,0.95084485,0.89317774,0.43085566,0.65054602,0.05138169,0.19041451,0.2417962,"Nico Hoerner",21479,663538
"Josh Bell","- - -",0.31415929,0.75056689,0.48614835,0.62206573,0.85951662,0.76654412,0.39410188,0.58706468,0.11349419,0.12734584,0.24084004,"Josh Bell",13145,605137
"Nick Fortes","MIA",0.34330709,0.64354528,0.47833622,0.80733945,0.92215569,0.87681159,0.44974003,0.71343284,0.05887446,0.18181818,0.24069264,"Nick Fortes",21538,663743
"Vidal Bruján","MIA",0.33001658,0.76053215,0.5142315,0.66331658,0.86297376,0.7896679,0.42789374,0.65107914,0.10795455,0.13257576,0.2405303,"Vidal Brujan",20536,660644
"Andrés Giménez","CLE",0.40751658,0.74880153,0.55583333,0.66907776,0.87836108,0.7916042,0.43458333,0.62559242,0.1156406,0.12437604,0.24001664,"Andres Gimenez",19950,665926
"Alex Bregman","HOU",0.26544118,0.69119071,0.44922691,0.8033241,0.92717087,0.8855814,0.43167572,0.6340694,0.05137845,0.18838764,0.23976608,"Alex Bregman",17678,608324
"Brice Turang","MIL",0.31676558,0.64438503,0.46558704,0.80562061,0.92392808,0.88,0.45425101,0.62520194,0.05578011,0.18350849,0.2392886,"Brice Turang",22186,668930
"Juan Yepez","WSN",0.35893155,0.73297003,0.5010352,0.69302326,0.89591078,0.80578512,0.37991718,0.60240964,0.09720786,0.14167528,0.23888314,"Juan Yepez",18400,660766
"Miguel Andujar","OAK",0.38439306,0.67701863,0.50468085,0.7481203,0.94801223,0.85834739,0.41106383,0.63322884,0.07136788,0.16737468,0.23874257,"Miguel Andujar",15878,609280
"Yordan Alvarez","HOU",0.33504776,0.6910299,0.4770318,0.68421053,0.90705128,0.81296296,0.39885159,0.58425197,0.0889476,0.14927345,0.23822105,"Yordan Alvarez",19556,670541
"Victor Robles","- - -",0.34602649,0.77644231,0.52156863,0.58851675,0.87306502,0.7612782,0.40784314,0.69830508,0.12438786,0.1136141,0.23800196,"Victor Robles",18363,645302
"Nick Gonzales","PIT",0.38352638,0.7962963,0.56236324,0.59395973,0.8794926,0.769131,0.43326039,0.65891473,0.12973761,0.10787172,0.23760933,"Nick Gonzales",27490,693304
"Ty France","- - -",0.32013479,0.78333333,0.51208683,0.60789474,0.88905775,0.78612717,0.41440553,0.62429907,0.10935961,0.12807882,0.23743842,"Ty France",17982,664034
"Ernie Clement","TOR",0.4645006,0.70502431,0.56698895,0.81865285,0.92643678,0.87576127,0.42610497,0.70575221,0.07039337,0.16701173,0.23740511,"Ernie Clement",20352,676391
"Yandy Díaz","TBR",0.25624082,0.66545123,0.43879626,0.77077364,0.9260274,0.87581094,0.44611631,0.58293076,0.05444941,0.18203982,0.23648923,"Yandy Diaz",16578,650490
"Bobby Witt Jr.","KCR",0.35448718,0.74783446,0.51173528,0.69981917,0.88416988,0.8075188,0.39976914,0.61495063,0.09838586,0.13797079,0.23635665,"Bobby Witt Jr.",25764,677951
"Yainer Diaz","HOU",0.45747126,0.79586877,0.58834586,0.65494137,0.8870229,0.77635783,0.38674812,0.66882068,0.13151714,0.10427431,0.23579145,"Yainer Diaz",23003,673237
"Ryan O'Hearn","BAL",0.29234973,0.70072993,0.4671875,0.69781931,0.92013889,0.84057971,0.428125,0.55263158,0.07447917,0.16041667,0.23489583,"Ryan O'Hearn",16442,656811
"Miguel Rojas","LAD",0.30057803,0.67822736,0.46242775,0.78846154,0.92613636,0.875,0.42857143,0.57863501,0.05766063,0.17627677,0.2339374,"Miguel Rojas",7802,500743
"Christian Yelich","MIL",0.29081633,0.72107438,0.45504732,0.66666667,0.88538682,0.79896014,0.38170347,0.54285714,0.09148265,0.14195584,0.23343849,"Christian Yelich",11477,592885
"Mike Tauchman","CHC",0.25681818,0.73059361,0.45933637,0.68141593,0.86458333,0.80594901,0.42745608,0.62285714,0.08896104,0.14350649,0.23246753,"Mike Tauchman",15274,643565
"Willie Calhoun","LAA",0.27372263,0.65365854,0.43632568,0.76,0.94029851,0.87559809,0.42797495,0.60629921,0.05422315,0.17726799,0.23149114,"Willie Calhoun",17838,641432
"Marcus Semien","TEX",0.30314708,0.78671656,0.5,0.64194915,0.90368609,0.80959634,0.40708302,0.60306407,0.09516559,0.13475447,0.22992006,"Marcus Semien",12533,543760
"Josh Naylor","CLE",0.35479256,0.73672316,0.50284713,0.69758065,0.86656442,0.79355401,0.38764783,0.59873618,0.10353866,0.12625601,0.22979467,"Josh Naylor",18839,647304
"Keibert Ruiz","WSN",0.40473738,0.68895349,0.52260398,0.82951654,0.93459916,0.88696655,0.41470766,0.64742268,0.0589651,0.17027677,0.22924188,"Keibert Ruiz",19610,660688
"Kyle Tucker","HOU",0.20924262,0.69649123,0.41512231,0.65030675,0.89420655,0.82321429,0.42253521,0.54277286,0.07322485,0.1545858,0.22781065,"Kyle Tucker",18345,663656
"Ketel Marte","ARI",0.29258354,0.73311547,0.48111888,0.67409471,0.87964339,0.80813953,0.42797203,0.58147513,0.09213588,0.13541182,0.2275477,"Ketel Marte",13613,606466
"Bryce Harper","PHI",0.36602564,0.80528053,0.52774403,0.58143608,0.88251366,0.75057559,0.36816525,0.61806656,0.13136621,0.09579628,0.22716249,"Bryce Harper",11579,547180
"Bo Bichette","TOR",0.40520984,0.79089027,0.56388416,0.64642857,0.92146597,0.80513595,0.41141397,0.67261905,0.10933558,0.11774601,0.22708158,"Bo Bichette",19612,666182
"Luis Arraez","- - -",0.36818182,0.64748858,0.49482402,0.90740741,0.96614951,0.94225941,0.45341615,0.61011905,0.02853598,0.19768404,0.22622002,"Luis Arraez",18568,650333
"Vinnie Pasquantino","KCR",0.33811802,0.67425968,0.47654784,0.78066038,0.94256757,0.875,0.41181989,0.59566787,0.05945693,0.16573034,0.22518727,"Vinnie Pasquantino",27676,686469
"Jurickson Profar","SDP",0.25997426,0.707173,0.45345016,0.72029703,0.90453461,0.84460548,0.43263965,0.6002994,0.07038658,0.15426696,0.22465354,"Jurickson Profar",10815,595777
"Xavier Edwards","MIA",0.26093514,0.72988506,0.46751055,0.75722543,0.88976378,0.84837545,0.44050633,0.60066007,0.0706476,0.15222876,0.22287637,"Xavier Edwards",22266,669364
"Santiago Espinal","CIN",0.3062201,0.71407186,0.48736702,0.73828125,0.94129979,0.87039563,0.44414894,0.60102302,0.06299735,0.15981432,0.22281167,"Santiago Espinal",19997,669289
"Alec Bohm","PHI",0.31031543,0.7278481,0.49693541,0.70054945,0.92318841,0.84629981,0.44695898,0.60726073,0.07630711,0.14460669,0.2209138,"Alec Bohm",21618,664761
"Jonah Heim","TEX",0.36435644,0.7769131,0.5429534,0.70108696,0.89649416,0.8221303,0.43290286,0.6496945,0.09646663,0.12338755,0.21985418,"Jonah Heim",16930,641680
"Cedric Mullins","BAL",0.30669145,0.73867596,0.49870934,0.68787879,0.89465409,0.82401656,0.44450181,0.61523046,0.0877193,0.13054696,0.21826625,"Cedric Mullins",17929,656775
"Luis Rengifo","LAA",0.40153846,0.79723502,0.5599631,0.65900383,0.89017341,0.7907743,0.400369,0.67105263,0.11694291,0.10128913,0.21823204,"Luis Rengifo",19858,650859
"José Ramírez","CLE",0.34830769,0.70630631,0.49360146,0.78268551,0.92219388,0.8637037,0.40585009,0.54545455,0.06715328,0.15,0.21715328,"Jose Ramirez",13510,608070
"Will Brennan","CLE",0.38848921,0.75140187,0.54634146,0.77037037,0.89054726,0.8422619,0.43495935,0.64589235,0.08610885,0.13078798,0.21689683,"Will Brennan",25660,686823
"Mauricio Dubón","HOU",0.44522968,0.81530782,0.59862069,0.78835979,0.86938776,0.83410138,0.41448276,0.6635514,0.09931034,0.1137931,0.21310345,"Mauricio Dubon",16530,643289
"Alec Burleson","STL",0.3869637,0.78232044,0.55597544,0.74200426,0.88841808,0.83007647,0.42749173,0.63529412,0.09442871,0.1170916,0.2115203,"Alec Burleson",27615,676475
"Freddie Freeman","LAD",0.3067649,0.76482021,0.49365583,0.75327511,0.86022872,0.82088353,0.40800952,0.59717868,0.08835182,0.12242472,0.21077655,"Freddie Freeman",5361,518692
"Jackson Merrill","SDP",0.3832,0.80685358,0.56755535,0.70146138,0.87644788,0.80971338,0.4351559,0.65430017,0.10794941,0.10207769,0.2100271,"Jackson Merrill",29490,701538
"Jake Fraley","CIN",0.36551724,0.83636364,0.57969925,0.67924528,0.86166008,0.79896239,0.45488722,0.67277487,0.11636637,0.09309309,0.20945946,"Jake Fraley",19260,641584
"Corey Seager","TEX",0.31734317,0.82360406,0.53044872,0.58430233,0.89060092,0.78449144,0.42094017,0.61726079,0.11431624,0.09241453,0.20673077,"Corey Seager",13624,608369
"Ozzie Albies","ATL",0.37040816,0.85052317,0.56519102,0.7107438,0.86818981,0.80686695,0.40570042,0.62988506,0.10902483,0.09024833,0.19927317,"Ozzie Albies",16556,645277
"Jeff McNeil","NYM",0.3490566,0.80184941,0.54938632,0.7027027,0.91598023,0.84042553,0.44243133,0.6059322,0.08746356,0.11078717,0.19825073,"Jeff McNeil",15362,643446